query,category,query_clean,category_encoded
My invoice shows an incorrect amount.,Billing Issue,my invoice shows an incorrect amount.,0
I'm not sure how to dispute this charge.,Billing Issue,im not sure how to dispute this charge.,0
There's a significant discrepancy between what I'm being billed and what I agreed to.,Billing Issue,theres a significant discrepancy between what im being billed and what i agreed to.,0
The billing statement is hard to understand.,Billing Issue,the billing statement is hard to understand.,0
This is absolutely ridiculous. I want my money back.,Billing Issue,this is absolutely ridiculous. i want my money back.,0
"I paid with a different method, please review my payment history.",Billing Issue,i paid with a different method please review my payment history.,0
The date on my invoice is wrong.,Billing Issue,the date on my invoice is wrong.,0
"I requested a credit, but it hasn't been applied.",Billing Issue,i requested a credit but it hasnt been applied.,0
My previous payment should have covered this billing cycle.,Billing Issue,my previous payment should have covered this billing cycle.,0
I've contacted multiple departments without resolution.,Billing Issue,ive contacted multiple departments without resolution.,0
My account is incorrectly linked to a previous account.,Billing Issue,my account is incorrectly linked to a previous account.,0
I need to update my billing information.,Billing Issue,i need to update my billing information.,0
My contract clearly states a different pricing structure.,Billing Issue,my contract clearly states a different pricing structure.,0
Your billing department is unresponsive.,Billing Issue,your billing department is unresponsive.,0
I'm extremely disappointed with the billing service.,Billing Issue,im extremely disappointed with the billing service.,0
Please correct the billing error immediately.,Billing Issue,please correct the billing error immediately.,0
The invoice details are inconsistent.,Billing Issue,the invoice details are inconsistent.,0
I'm being charged for a service that is unavailable.,Billing Issue,im being charged for a service that is unavailable.,0
I'm requesting a review of my account activity.,Billing Issue,im requesting a review of my account activity.,0
This billing issue needs immediate attention.,Billing Issue,this billing issue needs immediate attention.,0
I paid via PayPal and it hasn't been applied.,Billing Issue,i paid via paypal and it hasnt been applied.,0
The refund process is far too complicated.,Billing Issue,the refund process is far too complicated.,0
I'm expecting a refund of the overcharged amount.,Billing Issue,im expecting a refund of the overcharged amount.,0
"My card expired, and I haven't been notified.",Billing Issue,my card expired and i havent been notified.,0
This is theft. I am demanding a refund.,Billing Issue,this is theft. i am demanding a refund.,0
Your billing system is unreliable.,Billing Issue,your billing system is unreliable.,0
The support team couldn't provide me with a solution.,Billing Issue,the support team couldnt provide me with a solution.,0
I'm completely confused by your billing practices.,Billing Issue,im completely confused by your billing practices.,0
I'm requesting a full explanation of these charges.,Billing Issue,im requesting a full explanation of these charges.,0
The billing is inconsistent and confusing.,Billing Issue,the billing is inconsistent and confusing.,0
I am dissatisfied with this billing process.,Billing Issue,i am dissatisfied with this billing process.,0
This is unfair.  I want a refund.,Billing Issue,this is unfair. i want a refund.,0
I'm very unhappy with the billing service.,Billing Issue,im very unhappy with the billing service.,0
I'm very frustrated with this ongoing billing problem.,Billing Issue,im very frustrated with this ongoing billing problem.,0
I'm being charged for something I've already paid for.,Billing Issue,im being charged for something ive already paid for.,0
The billing cycle is not clear.,Billing Issue,the billing cycle is not clear.,0
I need a clearer explanation of the charges.,Billing Issue,i need a clearer explanation of the charges.,0
This is unacceptable. I demand a response.,Billing Issue,this is unacceptable. i demand a response.,0
I've tried everything to fix this billing issue.,Billing Issue,ive tried everything to fix this billing issue.,0
I'm beyond frustrated with this situation.,Billing Issue,im beyond frustrated with this situation.,0
I'm disappointed with your billing system.,Billing Issue,im disappointed with your billing system.,0
"I paid using a gift card, but it hasn't been credited.",Billing Issue,i paid using a gift card but it hasnt been credited.,0
I'm not happy with the way this billing matter was handled.,Billing Issue,im not happy with the way this billing matter was handled.,0
I'm requesting a refund for the overcharged amount.,Billing Issue,im requesting a refund for the overcharged amount.,0
I need a solution to this billing issue promptly.,Billing Issue,i need a solution to this billing issue promptly.,0
I'm unhappy with the level of customer service I received.,Billing Issue,im unhappy with the level of customer service i received.,0
I'm very dissatisfied with the entire billing process.,Billing Issue,im very dissatisfied with the entire billing process.,0
The charges on my invoice are incorrect.,Billing Issue,the charges on my invoice are incorrect.,0
I'm demanding a refund for this error.,Billing Issue,im demanding a refund for this error.,0
My payment hasn't been processed yet.,Billing Issue,my payment hasnt been processed yet.,0
This is the third billing issue I've experienced.,Billing Issue,this is the third billing issue ive experienced.,0
This needs to be resolved immediately.,Billing Issue,this needs to be resolved immediately.,0
I’m severely frustrated by this entire billing situation.,Billing Issue,im severely frustrated by this entire billing situation.,0
I'm extremely unhappy with the billing.,Billing Issue,im extremely unhappy with the billing.,0
I'm really disappointed with this service.,Billing Issue,im really disappointed with this service.,0
I'm disappointed in your billing system's performance.,Billing Issue,im disappointed in your billing systems performance.,0
This is a major inconvenience.,Billing Issue,this is a major inconvenience.,0
This has caused me significant stress.,Billing Issue,this has caused me significant stress.,0
I'm requesting assistance with this matter.,Billing Issue,im requesting assistance with this matter.,0
I'm concerned about this billing discrepancy.,Billing Issue,im concerned about this billing discrepancy.,0
I need clarification on these charges immediately.,Billing Issue,i need clarification on these charges immediately.,0
I'm seeking immediate resolution for this problem.,Billing Issue,im seeking immediate resolution for this problem.,0
I'm extremely displeased with this billing error.,Billing Issue,im extremely displeased with this billing error.,0
This billing issue is unacceptable and unprofessional.,Billing Issue,this billing issue is unacceptable and unprofessional.,0
I'm very unhappy with the lack of communication.,Billing Issue,im very unhappy with the lack of communication.,0
I'm requesting an immediate refund.,Billing Issue,im requesting an immediate refund.,0
I demand a solution to this problem immediately.,Billing Issue,i demand a solution to this problem immediately.,0
I'm incredibly frustrated with this situation.,Billing Issue,im incredibly frustrated with this situation.,0
This is completely unacceptable.,Billing Issue,this is completely unacceptable.,0
This is absolutely ridiculous.,Billing Issue,this is absolutely ridiculous.,0
I am appalled by this billing process.,Billing Issue,i am appalled by this billing process.,0
This is unprofessional and unacceptable.,Billing Issue,this is unprofessional and unacceptable.,0
This billing error is causing me major problems.,Billing Issue,this billing error is causing me major problems.,0
I expect immediate action on this matter.,Billing Issue,i expect immediate action on this matter.,0
I'm very upset about this billing discrepancy.,Billing Issue,im very upset about this billing discrepancy.,0
I'm extremely disappointed in your customer service.,Billing Issue,im extremely disappointed in your customer service.,0
I’m highly dissatisfied with your billing practices.,Billing Issue,im highly dissatisfied with your billing practices.,0
I’m very disappointed in this entire experience.,Billing Issue,im very disappointed in this entire experience.,0
I demand a full refund.,Billing Issue,i demand a full refund.,0
I want a response to this issue immediately.,Billing Issue,i want a response to this issue immediately.,0
This needs to be resolved as soon as possible.,Billing Issue,this needs to be resolved as soon as possible.,0
I’m very unhappy with this entire situation.,Billing Issue,im very unhappy with this entire situation.,0
I’m extremely frustrated with your billing system.,Billing Issue,im extremely frustrated with your billing system.,0
This is a serious issue that needs attention.,Billing Issue,this is a serious issue that needs attention.,0
This billing error is causing me significant financial hardship.,Billing Issue,this billing error is causing me significant financial hardship.,0
I’m very disappointed in your company.,Billing Issue,im very disappointed in your company.,0
I'm requesting a credit for this error.,Billing Issue,im requesting a credit for this error.,0
I'm not satisfied with your response.,Billing Issue,im not satisfied with your response.,0
This billing error is causing me serious problems.,Billing Issue,this billing error is causing me serious problems.,0
This situation is unacceptable.,Billing Issue,this situation is unacceptable.,0
My invoice shows a charge for a feature I never used.,Billing Issue,my invoice shows a charge for a feature i never used.,0
I was overcharged this month; my usual fee is much lower.,Billing Issue,i was overcharged this month my usual fee is much lower.,0
There's a discrepancy between my invoice and my usage.,Billing Issue,theres a discrepancy between my invoice and my usage.,0
I'm requesting a refund for the duplicate payment.,Billing Issue,im requesting a refund for the duplicate payment.,0
"The billing cycle changed unexpectedly, leading to an early charge.",Billing Issue,the billing cycle changed unexpectedly leading to an early charge.,0
"My payment was processed, but the system still shows an outstanding balance.",Billing Issue,my payment was processed but the system still shows an outstanding balance.,0
I was charged twice for the same service.,Billing Issue,i was charged twice for the same service.,0
The invoice is unclear; I can't identify the charges.,Billing Issue,the invoice is unclear i cant identify the charges.,0
Can you explain this unexpected fee on my invoice?,Billing Issue,can you explain this unexpected fee on my invoice?,0
I need a breakdown of the charges on my recent invoice.,Billing Issue,i need a breakdown of the charges on my recent invoice.,0
"My credit card was charged, but I haven't received an invoice.",Billing Issue,my credit card was charged but i havent received an invoice.,0
I'm being charged for a subscription I cancelled last month.,Billing Issue,im being charged for a subscription i cancelled last month.,0
The billing cycle seems to be off by a week.,Billing Issue,the billing cycle seems to be off by a week.,0
I received an invoice for a service I didn't subscribe to.,Billing Issue,i received an invoice for a service i didnt subscribe to.,0
There's a significant discrepancy in the total amount charged.,Billing Issue,theres a significant discrepancy in the total amount charged.,0
I've been overcharged for storage; my usage is well below the limit.,Billing Issue,ive been overcharged for storage my usage is well below the limit.,0
I need a refund for the incorrect charges on my last invoice.,Billing Issue,i need a refund for the incorrect charges on my last invoice.,0
"My payment failed, but I've resubmitted it.  Where's the confirmation?",Billing Issue,my payment failed but ive resubmitted it. wheres the confirmation?,0
"I was charged a late fee, but I paid on time.",Billing Issue,i was charged a late fee but i paid on time.,0
My payment hasn't been applied to my account.,Billing Issue,my payment hasnt been applied to my account.,0
I'm being charged for an inactive user.,Billing Issue,im being charged for an inactive user.,0
"I requested a refund, but haven't received it.",Billing Issue,i requested a refund but havent received it.,0
The monthly fee is higher than advertised.,Billing Issue,the monthly fee is higher than advertised.,0
There seems to be an error in the calculation of my bill.,Billing Issue,there seems to be an error in the calculation of my bill.,0
My invoice is missing several line items.,Billing Issue,my invoice is missing several line items.,0
I've been charged for a feature that's still in beta.,Billing Issue,ive been charged for a feature thats still in beta.,0
"The system automatically upgraded me, resulting in a higher fee.",Billing Issue,the system automatically upgraded me resulting in a higher fee.,0
I'm disputing the charges on this invoice.,Billing Issue,im disputing the charges on this invoice.,0
This month's invoice is significantly higher than usual.,Billing Issue,this months invoice is significantly higher than usual.,0
Could you clarify the additional charges on my bill?,Billing Issue,could you clarify the additional charges on my bill?,0
I'm requesting a pro-rated refund for my early cancellation.,Billing Issue,im requesting a prorated refund for my early cancellation.,0
My payment method was incorrectly updated.,Billing Issue,my payment method was incorrectly updated.,0
The invoice doesn't match the usage data I have.,Billing Issue,the invoice doesnt match the usage data i have.,0
I need help understanding the different fees listed.,Billing Issue,i need help understanding the different fees listed.,0
I accidentally subscribed to a higher tier and need a downgrade.,Billing Issue,i accidentally subscribed to a higher tier and need a downgrade.,0
"I cancelled my subscription, but I'm still being charged.",Billing Issue,i cancelled my subscription but im still being charged.,0
There's a problem with my payment processing.,Billing Issue,theres a problem with my payment processing.,0
My invoice is late this month.,Billing Issue,my invoice is late this month.,0
I was charged for a trial period after cancelling.,Billing Issue,i was charged for a trial period after cancelling.,0
The system didn't apply my discount correctly.,Billing Issue,the system didnt apply my discount correctly.,0
My credit card statement shows a different amount than the invoice.,Billing Issue,my credit card statement shows a different amount than the invoice.,0
I think there's a bug in your billing system.,Billing Issue,i think theres a bug in your billing system.,0
The billing statement is difficult to read.,Billing Issue,the billing statement is difficult to read.,0
I'm requesting an itemized invoice.,Billing Issue,im requesting an itemized invoice.,0
I have multiple invoices for the same billing cycle.,Billing Issue,i have multiple invoices for the same billing cycle.,0
"I received a past-due notice, even though I paid.",Billing Issue,i received a pastdue notice even though i paid.,0
My account has been unexpectedly suspended due to non-payment.,Billing Issue,my account has been unexpectedly suspended due to nonpayment.,0
The email confirmation doesn't match the invoice amount.,Billing Issue,the email confirmation doesnt match the invoice amount.,0
I'm being charged for users who left the company.,Billing Issue,im being charged for users who left the company.,0
Can you send me a corrected invoice?,Billing Issue,can you send me a corrected invoice?,0
I'm unable to access my billing history.,Billing Issue,im unable to access my billing history.,0
There's a discrepancy in the number of days billed.,Billing Issue,theres a discrepancy in the number of days billed.,0
"I've paid my invoice in full, but it still shows outstanding.",Billing Issue,ive paid my invoice in full but it still shows outstanding.,0
This month's invoice is completely wrong.,Billing Issue,this months invoice is completely wrong.,0
The system doesn't reflect my recent payment.,Billing Issue,the system doesnt reflect my recent payment.,0
"I requested a change to my billing address, but it hasn't been updated.",Billing Issue,i requested a change to my billing address but it hasnt been updated.,0
"My subscription ended, but I was still charged.",Billing Issue,my subscription ended but i was still charged.,0
I'm experiencing issues with automated payment.,Billing Issue,im experiencing issues with automated payment.,0
The pricing on your website doesn't match my invoice.,Billing Issue,the pricing on your website doesnt match my invoice.,0
I need a copy of my previous invoice.,Billing Issue,i need a copy of my previous invoice.,0
The invoice shows a charge for a service I never requested.,Billing Issue,the invoice shows a charge for a service i never requested.,0
I'm having trouble accessing my billing details.,Billing Issue,im having trouble accessing my billing details.,0
The billing cycle date has shifted.,Billing Issue,the billing cycle date has shifted.,0
Why was I charged this additional setup fee?,Billing Issue,why was i charged this additional setup fee?,0
My invoice shows an incorrect tax amount.,Billing Issue,my invoice shows an incorrect tax amount.,0
I need help reconciling this billing discrepancy.,Billing Issue,i need help reconciling this billing discrepancy.,0
The support team hasn't resolved my billing issue.,Billing Issue,the support team hasnt resolved my billing issue.,0
There's a discrepancy between the invoice and my contract.,Billing Issue,theres a discrepancy between the invoice and my contract.,0
"My automatic payment failed, and I wasn't notified.",Billing Issue,my automatic payment failed and i wasnt notified.,0
My account is showing a negative balance.,Billing Issue,my account is showing a negative balance.,0
"I paid through PayPal, but it hasn't been reflected in my account.",Billing Issue,i paid through paypal but it hasnt been reflected in my account.,0
Could you explain the different pricing tiers?,Billing Issue,could you explain the different pricing tiers?,0
I think I've been incorrectly charged for support.,Billing Issue,i think ive been incorrectly charged for support.,0
The invoice total is incorrect.,Billing Issue,the invoice total is incorrect.,0
"My credit card has been declined, please send a new invoice.",Billing Issue,my credit card has been declined please send a new invoice.,0
I'm unsure why I'm being charged for this add-on.,Billing Issue,im unsure why im being charged for this addon.,0
I need to change my payment method.,Billing Issue,i need to change my payment method.,0
My account is locked due to unpaid invoices.,Billing Issue,my account is locked due to unpaid invoices.,0
I'm unhappy with the billing practices of your software.,Billing Issue,im unhappy with the billing practices of your software.,0
Can I pay my invoice via bank transfer?,Billing Issue,can i pay my invoice via bank transfer?,0
I'm experiencing continuous billing errors.,Billing Issue,im experiencing continuous billing errors.,0
The invoice is missing the company logo.,Billing Issue,the invoice is missing the company logo.,0
My payment was rejected for an unknown reason.,Billing Issue,my payment was rejected for an unknown reason.,0
I'm requesting a breakdown of my usage charges.,Billing Issue,im requesting a breakdown of my usage charges.,0
I was accidentally billed for a different account.,Billing Issue,i was accidentally billed for a different account.,0
"The service was down, but I was still billed.",Billing Issue,the service was down but i was still billed.,0
The invoice lacks sufficient detail.,Billing Issue,the invoice lacks sufficient detail.,0
I cancelled my service mid-cycle and was not given a pro-rated refund.,Billing Issue,i cancelled my service midcycle and was not given a prorated refund.,0
My payment is pending.,Billing Issue,my payment is pending.,0
I'm concerned about the recurring charges on my account.,Billing Issue,im concerned about the recurring charges on my account.,0
I need to speak with someone about my billing issues.,Billing Issue,i need to speak with someone about my billing issues.,0
"The software is malfunctioning, but I'm still billed.",Billing Issue,the software is malfunctioning but im still billed.,0
I'm being charged for features I haven't activated.,Billing Issue,im being charged for features i havent activated.,0
This fee seems excessive.,Billing Issue,this fee seems excessive.,0
My invoice has been lost in transit.,Billing Issue,my invoice has been lost in transit.,0
I'm worried about unexpected charges in the future.,Billing Issue,im worried about unexpected charges in the future.,0
The billing system is confusing.,Billing Issue,the billing system is confusing.,0
"My company has changed its name, please update the billing records.",Billing Issue,my company has changed its name please update the billing records.,0
I need an official receipt for my payment.,Billing Issue,i need an official receipt for my payment.,0
The terms and conditions regarding billing are unclear.,Billing Issue,the terms and conditions regarding billing are unclear.,0
My bank statement doesn't show the payment.,Billing Issue,my bank statement doesnt show the payment.,0
There's an unexpected extra charge on my invoice.,Billing Issue,theres an unexpected extra charge on my invoice.,0
"I'm being charged interest, but I didn't receive a late notice.",Billing Issue,im being charged interest but i didnt receive a late notice.,0
I have a question regarding the payment terms.,Billing Issue,i have a question regarding the payment terms.,0
I can't see my invoice online.,Billing Issue,i cant see my invoice online.,0
The support email address is bouncing back.,Billing Issue,the support email address is bouncing back.,0
My monthly invoice has arrived late.,Billing Issue,my monthly invoice has arrived late.,0
I need to request a new payment plan.,Billing Issue,i need to request a new payment plan.,0
The invoice address is incorrect.,Billing Issue,the invoice address is incorrect.,0
Please clarify the charges associated with this transaction.,Billing Issue,please clarify the charges associated with this transaction.,0
I'm not sure why I'm still being charged.,Billing Issue,im not sure why im still being charged.,0
"My subscription has expired, yet I'm still being billed.",Billing Issue,my subscription has expired yet im still being billed.,0
I'm receiving duplicate invoices.,Billing Issue,im receiving duplicate invoices.,0
The billing portal is slow and unreliable.,Billing Issue,the billing portal is slow and unreliable.,0
I need a complete explanation of the charges.,Billing Issue,i need a complete explanation of the charges.,0
My payment processor shows the payment as successful.,Billing Issue,my payment processor shows the payment as successful.,0
There's no clear indication of what the fees are for.,Billing Issue,theres no clear indication of what the fees are for.,0
I'm requesting a copy of my purchase agreement.,Billing Issue,im requesting a copy of my purchase agreement.,0
The customer support is unhelpful.,Billing Issue,the customer support is unhelpful.,0
I haven't received a statement for this billing cycle.,Billing Issue,i havent received a statement for this billing cycle.,0
I need help updating my payment information.,Billing Issue,i need help updating my payment information.,0
My card details are showing incorrectly.,Billing Issue,my card details are showing incorrectly.,0
I would like a human to review my account.,Billing Issue,i would like a human to review my account.,0
"The system is flagging my account as overdue, despite payment.",Billing Issue,the system is flagging my account as overdue despite payment.,0
I'm requesting a cancellation and a full refund.,Billing Issue,im requesting a cancellation and a full refund.,0
The software is too expensive for the features provided.,Billing Issue,the software is too expensive for the features provided.,0
There's a clear overcharging issue on my account.,Billing Issue,theres a clear overcharging issue on my account.,0
My billing period is inconsistent.,Billing Issue,my billing period is inconsistent.,0
I need a more detailed breakdown of my charges.,Billing Issue,i need a more detailed breakdown of my charges.,0
I'm being double-billed for user licenses.,Billing Issue,im being doublebilled for user licenses.,0
I'm concerned about the increasing costs of this service.,Billing Issue,im concerned about the increasing costs of this service.,0
I'm having trouble downloading my invoice.,Billing Issue,im having trouble downloading my invoice.,0
"The website is down, making it difficult to manage my billing.",Billing Issue,the website is down making it difficult to manage my billing.,0
The communication about billing is poor.,Billing Issue,the communication about billing is poor.,0
I'm unhappy with the lack of transparency in billing.,Billing Issue,im unhappy with the lack of transparency in billing.,0
I've made multiple attempts to contact support.,Billing Issue,ive made multiple attempts to contact support.,0
I would like a written confirmation of my refund.,Billing Issue,i would like a written confirmation of my refund.,0
The billing system seems unreliable.,Billing Issue,the billing system seems unreliable.,0
My invoice is formatted incorrectly.,Billing Issue,my invoice is formatted incorrectly.,0
I'm facing a payment processing error.,Billing Issue,im facing a payment processing error.,0
There is a discrepancy in the number of days in the billing cycle.,Billing Issue,there is a discrepancy in the number of days in the billing cycle.,0
The fees charged seem unreasonable.,Billing Issue,the fees charged seem unreasonable.,0
The invoice shows a different payment method than I used.,Billing Issue,the invoice shows a different payment method than i used.,0
I've tried to resolve this issue for weeks.,Billing Issue,ive tried to resolve this issue for weeks.,0
I'm not receiving email notifications about invoices.,Billing Issue,im not receiving email notifications about invoices.,0
I'm unable to view my billing summary.,Billing Issue,im unable to view my billing summary.,0
The support chat is not working.,Billing Issue,the support chat is not working.,0
I'm requesting a revised invoice.,Billing Issue,im requesting a revised invoice.,0
The payment portal is not user-friendly.,Billing Issue,the payment portal is not userfriendly.,0
I'm not sure how the charges were calculated.,Billing Issue,im not sure how the charges were calculated.,0
I'm being charged a higher rate than agreed upon.,Billing Issue,im being charged a higher rate than agreed upon.,0
I received the wrong invoice.,Billing Issue,i received the wrong invoice.,0
The invoice doesn't show my previous payments.,Billing Issue,the invoice doesnt show my previous payments.,0
"My payment has been processed, but the system is not reflecting it.",Billing Issue,my payment has been processed but the system is not reflecting it.,0
I need assistance understanding my usage costs.,Billing Issue,i need assistance understanding my usage costs.,0
The billing address listed is outdated.,Billing Issue,the billing address listed is outdated.,0
My invoice shows a discrepancy; I was charged twice for the premium features.,Billing Issue,my invoice shows a discrepancy i was charged twice for the premium features.,0
I'm requesting a refund for the last billing cycle—I canceled my subscription a week early.,Billing Issue,im requesting a refund for the last billing cyclei canceled my subscription a week early.,0
"The payment didn't go through, yet I was still charged.  What gives?",Billing Issue,the payment didnt go through yet i was still charged. what gives?,0
I was unexpectedly charged a hefty setup fee that wasn't mentioned during the trial.,Billing Issue,i was unexpectedly charged a hefty setup fee that wasnt mentioned during the trial.,0
There's a discrepancy in my invoice; the total doesn't match the itemized charges.,Billing Issue,theres a discrepancy in my invoice the total doesnt match the itemized charges.,0
Why was I overcharged this month? My usage hasn't changed.,Billing Issue,why was i overcharged this month? my usage hasnt changed.,0
Can I get a refund?  I was charged for a feature I never used.,Billing Issue,can i get a refund? i was charged for a feature i never used.,0
"The billing cycle changed without warning, leading to a double charge.",Billing Issue,the billing cycle changed without warning leading to a double charge.,0
My invoice is missing several items I was charged for.,Billing Issue,my invoice is missing several items i was charged for.,0
I'm being charged an additional fee I don't understand.  Please explain.,Billing Issue,im being charged an additional fee i dont understand. please explain.,0
"I canceled my account, but I'm still being charged.",Billing Issue,i canceled my account but im still being charged.,0
"The payment processing failed, but I was still billed.",Billing Issue,the payment processing failed but i was still billed.,0
My invoice is confusing; I need a clearer breakdown of the charges.,Billing Issue,my invoice is confusing i need a clearer breakdown of the charges.,0
I received an invoice for a service I didn't request.,Billing Issue,i received an invoice for a service i didnt request.,0
I'm overcharged;  the amount is significantly higher than usual.,Billing Issue,im overcharged the amount is significantly higher than usual.,0
"The payment was processed, but the system shows it as unpaid.",Billing Issue,the payment was processed but the system shows it as unpaid.,0
Why is my invoice showing a different date than my payment date?,Billing Issue,why is my invoice showing a different date than my payment date?,0
I need clarification on the late payment fee. It seems excessive.,Billing Issue,i need clarification on the late payment fee. it seems excessive.,0
My subscription renewal fee was unexpectedly high.,Billing Issue,my subscription renewal fee was unexpectedly high.,0
There's an error in my billing statement;  it's missing a payment.,Billing Issue,theres an error in my billing statement its missing a payment.,0
I was overcharged by $15.  Please adjust the next invoice.,Billing Issue,i was overcharged by $15. please adjust the next invoice.,0
I'm requesting a refund; I was billed for the wrong plan.,Billing Issue,im requesting a refund i was billed for the wrong plan.,0
This month's invoice is significantly higher than last month's. Why?,Billing Issue,this months invoice is significantly higher than last months. why?,0
"I haven't received an invoice yet, it's past the billing date.",Billing Issue,i havent received an invoice yet its past the billing date.,0
I think there's a glitch in the system; my payment hasn't been applied.,Billing Issue,i think theres a glitch in the system my payment hasnt been applied.,0
"My payment failed, but I've already resolved the issue. Please update my billing.",Billing Issue,my payment failed but ive already resolved the issue. please update my billing.,0
I'm being charged for a service I explicitly opted out of.,Billing Issue,im being charged for a service i explicitly opted out of.,0
"I requested a refund last week, but haven't received confirmation.",Billing Issue,i requested a refund last week but havent received confirmation.,0
"My invoice shows a strange, unexplained charge.",Billing Issue,my invoice shows a strange unexplained charge.,0
I need to update my payment method.  How do I do that?,Billing Issue,i need to update my payment method. how do i do that?,0
There's an error on my invoice – incorrect quantity listed.,Billing Issue,theres an error on my invoice incorrect quantity listed.,0
I was double-billed for the same service.,Billing Issue,i was doublebilled for the same service.,0
"The automated payment failed, please provide manual payment instructions.",Billing Issue,the automated payment failed please provide manual payment instructions.,0
"My card was declined, but I wasn't notified until the billing cycle ended.",Billing Issue,my card was declined but i wasnt notified until the billing cycle ended.,0
"My account was unexpectedly downgraded, resulting in a lower price.",Billing Issue,my account was unexpectedly downgraded resulting in a lower price.,0
I'm being charged for a free trial.,Billing Issue,im being charged for a free trial.,0
I paid via bank transfer; please reconcile my account.,Billing Issue,i paid via bank transfer please reconcile my account.,0
My billing information is incorrect; please update it with the correct details.,Billing Issue,my billing information is incorrect please update it with the correct details.,0
"I cancelled my subscription, but I'm still getting charged.  What's going on?",Billing Issue,i cancelled my subscription but im still getting charged. whats going on?,0
I'm disputing the late fee charge; my payment was on time.,Billing Issue,im disputing the late fee charge my payment was on time.,0
My invoice is missing an item I ordered.,Billing Issue,my invoice is missing an item i ordered.,0
I'm being charged for an add-on I never requested or agreed to.,Billing Issue,im being charged for an addon i never requested or agreed to.,0
The amount charged doesn't reflect the services I've used.,Billing Issue,the amount charged doesnt reflect the services ive used.,0
There's a discrepancy in the billing dates.,Billing Issue,theres a discrepancy in the billing dates.,0
My payment seems to be lost in the system.,Billing Issue,my payment seems to be lost in the system.,0
I paid the invoice twice accidentally.,Billing Issue,i paid the invoice twice accidentally.,0
I'm requesting a breakdown of the various fees charged.,Billing Issue,im requesting a breakdown of the various fees charged.,0
I was charged for a canceled subscription.,Billing Issue,i was charged for a canceled subscription.,0
I need a copy of my last invoice.,Billing Issue,i need a copy of my last invoice.,0
I believe I've been mistakenly charged for another customer's account.,Billing Issue,i believe ive been mistakenly charged for another customers account.,0
The invoice doesn't show any itemized charges.,Billing Issue,the invoice doesnt show any itemized charges.,0
Why am I being charged for this? I've never seen this item before.,Billing Issue,why am i being charged for this? ive never seen this item before.,0
My payment was declined due to insufficient funds.,Billing Issue,my payment was declined due to insufficient funds.,0
I requested a prorated refund for early cancellation.,Billing Issue,i requested a prorated refund for early cancellation.,0
Can you adjust my billing cycle to match my preferred date?,Billing Issue,can you adjust my billing cycle to match my preferred date?,0
The charges are unclear.  Please provide a detailed explanation.,Billing Issue,the charges are unclear. please provide a detailed explanation.,0
I'm being charged extra for storage I don't use.,Billing Issue,im being charged extra for storage i dont use.,0
I was charged an unexpected processing fee.,Billing Issue,i was charged an unexpected processing fee.,0
My invoice is missing a credit I should have received.,Billing Issue,my invoice is missing a credit i should have received.,0
I need to know what the additional $20 is for on my statement.,Billing Issue,i need to know what the additional $20 is for on my statement.,0
This invoice seems wrong. The total is much too high.,Billing Issue,this invoice seems wrong. the total is much too high.,0
The billing system is very confusing to navigate.,Billing Issue,the billing system is very confusing to navigate.,0
I believe my account has been hacked.  I'm seeing unusual charges.,Billing Issue,i believe my account has been hacked. im seeing unusual charges.,0
My recurring payment failed.  Please help me fix this.,Billing Issue,my recurring payment failed. please help me fix this.,0
There is a significant discrepancy between my usage and the charges.,Billing Issue,there is a significant discrepancy between my usage and the charges.,0
My previous payment has not yet been reflected on my account.,Billing Issue,my previous payment has not yet been reflected on my account.,0
The invoice details are incorrect; the quantities are wrong.,Billing Issue,the invoice details are incorrect the quantities are wrong.,0
I would like to change my billing address.,Billing Issue,i would like to change my billing address.,0
I'm being charged even though my trial period hasn't ended.,Billing Issue,im being charged even though my trial period hasnt ended.,0
Please confirm receipt of my payment.,Billing Issue,please confirm receipt of my payment.,0
My invoice is difficult to read; the font is too small.,Billing Issue,my invoice is difficult to read the font is too small.,0
I'm experiencing recurring payment errors.,Billing Issue,im experiencing recurring payment errors.,0
My credit card information is outdated.,Billing Issue,my credit card information is outdated.,0
I need help understanding the different billing tiers.,Billing Issue,i need help understanding the different billing tiers.,0
The billing cycle is too short.,Billing Issue,the billing cycle is too short.,0
"I requested a change to my billing plan, but it hasn't been updated.",Billing Issue,i requested a change to my billing plan but it hasnt been updated.,0
I'm unsure why I'm still receiving invoices after account closure.,Billing Issue,im unsure why im still receiving invoices after account closure.,0
"My subscription should have auto-renewed, but it didn't.",Billing Issue,my subscription should have autorenewed but it didnt.,0
The billing period doesn't align with the service usage.,Billing Issue,the billing period doesnt align with the service usage.,0
I'm confused about the currency displayed on my invoice.,Billing Issue,im confused about the currency displayed on my invoice.,0
My invoice shows zero charges.,Billing Issue,my invoice shows zero charges.,0
I was accidentally charged for a competitor's product.,Billing Issue,i was accidentally charged for a competitors product.,0
I'm unable to access my online billing portal.,Billing Issue,im unable to access my online billing portal.,0
I'm disputing a charge listed as 'unspecified'.,Billing Issue,im disputing a charge listed as unspecified.,0
I was overcharged for exceeding my storage limit.,Billing Issue,i was overcharged for exceeding my storage limit.,0
The renewal price was much higher than expected.,Billing Issue,the renewal price was much higher than expected.,0
"My payment was successfully processed, but the system doesn't show it.",Billing Issue,my payment was successfully processed but the system doesnt show it.,0
I'm confused by the additional tax charged.,Billing Issue,im confused by the additional tax charged.,0
